,firing_rate,snr,isi_violations_ratio,isi_violations_count
425,1.8123193239937736,307.66993266290245,1.128382701644774,2
426,1.5454747609517456,307.66993266290245,0.7758397598467989,1
427,6.960195686012898,307.15110134021717,0.5355265441108922,14
428,0.7282632866355349,307.66993266290245,0.0,0
429,0.5503669112741828,307.66993266290245,0.0,0
430,4.641983544585279,307.4105270638406,2.0639535300656178,24
431,2.3015343562374917,307.66993266290245,1.0494994048869286,3
432,0.7282632866355349,307.15110134021717,0.0,0
433,1.1507671781187458,307.66993266290245,0.0,0
434,3.9637536135201246,307.66993266290245,0.35383746845303304,3
435,2.2292639537469423,307.66993266290245,3.7288325321359945,10
437,13.058705803869247,307.15110134021717,2.4015291598954005,221
438,1.751167444963309,307.15110134021717,1.8128495842781556,3
439,2.179230598176562,307.15110134021717,0.0,0
441,5.614854347342673,307.66993266290245,6.348083521223408,108
442,0.5892817433844786,307.66993266290245,0.0,0
443,6.409828774738715,307.15110134021717,0.6765412299751242,15
444,0.5948410051145208,307.66993266290245,0.0,0
446,0.800533689126084,307.66993266290245,0.0,0
447,1.3231042917500557,307.15110134021717,1.0585410634842172,1
448,1.77896375361352,307.15110134021717,0.585546875,1
449,3.346675561485435,307.15110134021717,4.301718524078101,26
451,1.2063597954191683,307.66993266290245,2.546666949818429,2
453,0.8950411385368023,307.66993266290245,4.626364723583195,2
454,1.3231042917500557,307.15110134021717,5.292705317421086,5
455,0.08894818768067601,307.4105270638406,0.0,0
456,2.9630865021125197,307.4105270638406,0.6331818549820655,3
457,2.056926840115633,307.66993266290245,2.62790357925493,6
458,0.2501667778519013,307.66993266290245,0.0,0
461,10.456971314209474,307.15110134021717,2.694518423553931,159
462,1.395374694240605,307.66993266290245,0.9517309249059538,1
463,2.6350900600400267,307.15110134021717,0.5337463725542559,2
464,0.8338892595063376,307.15110134021717,2.6648888888888886,1
465,1.573271069601957,307.66993266290245,2.2460013235275755,3
466,3.2521681120747163,307.66993266290245,0.7008254803126598,4
467,3.413386702245942,307.15110134021717,1.9085613640463026,12
468,2.507227040249055,307.15110134021717,0.0,0
469,2.323771403157661,307.66993266290245,0.0,0
470,1.4509673115410273,307.15110134021717,0.8801984703689024,1
472,1.9012675116744497,307.15110134021717,0.0,0
473,0.4614187235935068,307.66993266290245,0.0,0
474,1.3564598621303092,307.66993266290245,1.0071217414673475,1
475,2.6072937513898156,307.15110134021717,1.6355626679274962,6
479,3.613520124527463,307.66993266290245,3.9736804733727813,28
480,2.996442072492773,307.15110134021717,1.2383270056209361,6
481,4.358461196353124,307.15110134021717,0.5853029987505206,6
482,2.056926840115633,307.66993266290245,0.8759678597516434,2
483,0.23904825439181676,307.15110134021717,32.42833964305029,1
484,2.8463420057816324,307.66993266290245,2.28729248046875,10
486,0.3724705359128308,307.66993266290245,0.0,0
489,0.44474093840338,307.66993266290245,0.0,0
490,13.631309762063598,307.4105270638406,0.6781559947733847,68
491,1.3786969090504781,307.66993266290245,4.874479708636836,5
495,5.770513675783856,307.15110134021717,3.1720627707797346,57
497,3.202134756504336,307.66993266290245,11.927806712962964,66
498,13.920391372025795,307.15110134021717,0.29645219406138673,31
499,0.8338892595063376,307.66993266290245,0.0,0
501,13.458972648432288,307.66993266290245,1.4526479972415398,142
502,3.4245052257060262,307.15110134021717,0.6320627424523528,4
503,0.5003335557038026,307.66993266290245,7.402469135802468,1
505,0.6170780520346898,307.15110134021717,0.0,0
506,2.612853013119858,307.15110134021717,1.3571751923947486,5
507,1.6455414720925061,307.15110134021717,10.265248356464573,15
509,0.0555926173004225,307.4105270638406,0.0,0
510,3.2076940182343785,307.66993266290245,3.782067648057093,21
511,0.8728040916166333,307.66993266290245,9.730212178993062,4
514,1.8901489882143652,307.66993266290245,7.261591695501729,14
516,0.18901489882143652,307.66993266290245,0.0,0
517,3.174338447854125,307.66993266290245,4.229774782926073,23
519,1.8734712030242384,307.15110134021717,5.2796097526613766,10
520,3.085390260173449,307.66993266290245,0.0,0
523,0.2501667778519013,307.66993266290245,0.0,0
525,1.2563931509895485,307.66993266290245,4.69574751350928,4
526,1.5287969757616189,307.66993266290245,0.7928595041322313,1
527,0.2612853013119858,307.66993266290245,0.0,0
529,1.840115632643985,307.66993266290245,6.020025373992571,11
530,1.7122526128530131,307.66993266290245,0.0,0
531,0.8616855681565488,307.66993266290245,4.99146722164412,2
532,2.4794307315988435,307.15110134021717,0.9043013131170946,3
533,2.3015343562374917,307.66993266290245,5.597330159396952,16
535,0.9673115410273516,307.15110134021717,3.9608931166600603,2
536,12.736268623526795,307.15110134021717,1.153806070515621,101
540,1.0395819435179008,307.15110134021717,0.0,0
541,3.1854569713142094,307.66993266290245,1.4609735966058435,8
542,2.245941738937069,307.15110134021717,0.7347318890304873,2
543,1.0562597287080275,307.4105270638406,0.0,0
545,4.036024016010674,307.15110134021717,1.023837169592241,9
546,3.3133199911051814,307.66993266290245,0.6751948110445475,4
547,1.4509673115410273,307.15110134021717,0.0,0
550,0.4058261062930843,307.66993266290245,0.0,0
551,0.32243718034245056,307.4105270638406,35.64803804994054,2
552,0.42250389148321105,307.15110134021717,0.0,0
553,3.4189459639759843,307.66993266290245,2.8535395597858413,18
555,1.5621525461418724,307.66993266290245,3.7968110839528375,5
